loan_id,age,gender,marital_status,education,self_employed,num_dependents,employment_years,income_annual,loan_amount,loan_term_months,loan_purpose,credit_score,existing_loans,residential_assets,commercial_assets,bank_balance,monthly_expenses,property_area,loan_status,unnamed_col,row_number,random_notes
2095,62.0,M,Divorced,Graduate,N,2,4.0,21906.0,50177.0,120,home,764.0,4,226856,28069.0,,27712.0,Rural,Approved,,2094,check
1613,49.0,female,Divorced,Post Graduate,NO,2,22.0,78032.0,429726.0,120,home,590.0,3,693889,442275.0,279650.0,7263.0,semi-urban,Rejected,,1612,
5859,50.0,Male,Single,Post Graduate,No,0,4.0,49072.0,54282.0,120,Business,366.0,4,659669,386940.0,249579.0,29434.0,urban,Rejected,,5858,none
4295,56.0,Female,divorced,Not Graduate,No,1,27.0,188102.0,377860.0,24,Medical,421.0,4,847837,111215.0,164791.0,28482.0,urban,Approved,,4294,
2572,63.0,female,divorced,Grad,Y,1,24.0,,395575.0,12,EDUCATION,483.0,1,167400,490652.0,204920.0,30597.0,Urban,Approved,,2571,N/A
3782,26.0,M,divorced,Post Graduate,Y,5,29.0,149614.0,112001.0,60,home,546.0,3,959163,230497.0,82681.0,46164.0,Rural,Approved,,3781,check
1006,28.0,M,,Graduate,N,3,28.0,164587.0,164855.0,48,Home,345.0,4,251180,328474.0,203629.0,19959.0,urban,Approved,,1005,check
4702,21.0,M,SINGLE,Grad,N,3,17.0,150621.0,147957.0,24,Home,436.0,4,547956,15461.0,143583.0,22418.0,Rural,Approved,,4701,check
1818,40.0,F,,NOT GRADUATE,N,1,19.0,105945.0,295320.0,48,Education,822.0,2,376577,212145.0,115013.0,11222.0,semi-urban,Approved,,1817,none
4404,48.0,FEMALE,Married,Not Graduate,NO,2,5.0,178988.0,404666.0,12,EDUCATION,785.0,1,662457,328751.0,213471.0,,RURAL,Approved,,4403,
682,31.0,Female,married,Graduate,N,5,28.0,174417.0,199760.0,24,home,388.0,3,551162,179813.0,32201.0,15803.0,Rural,Approved,,681,
5088,24.0,male,Single,graduate,,2,29.0,117091.0,274537.0,12,home,,0,620593,291581.0,277035.0,11053.0,RURAL,Approved,,5087,check
605,33.0,M,divorced,graduate,No,2,19.0,120764.0,,120,Medical,827.0,1,395268,369150.0,67363.0,45560.0,urban,Approved,,604,
3401,55.0,male,Single,NOT GRADUATE,no,1,,,474284.0,48,Business,660.0,3,564258,39702.0,17452.0,31737.0,Urban,Approved,,3400,check
1609,42.0,Female,SINGLE,NOT GRADUATE,YES,2,9.0,112244.0,489102.0,48,Education,432.0,4,317046,228134.0,266528.0,28561.0,urban,Rejected,,1608,N/A
168,59.0,Female,divorced,graduate,Yes,0,21.0,181096.0,314181.0,36,Home,494.0,3,217854,258759.0,171222.0,49774.0,urban,Approved,,167,
3022,39.0,M,SINGLE,Post Graduate,No,1,17.0,61708.0,407644.0,84,Medical,541.0,4,5501,425395.0,270210.0,46213.0,Semiurban,Rejected,,3021,
2987,56.0,M,Married,Grad,Y,4,7.0,157328.0,409879.0,36,Education,712.0,4,295707,430134.0,280623.0,41836.0,Semiurban,Approved,,2986,check
1745,46.0,Female,Single,Not Graduate,Yes,1,24.0,168778.0,329332.0,24,home,388.0,2,779588,96270.0,24399.0,15464.0,Rural,Approved,,1744,check
5447,57.0,MALE,SINGLE,Post Graduate,NO,2,2.0,34706.0,247625.0,120,home,335.0,1,53539,136572.0,112012.0,20764.0,Urban,Rejected,,5446,none
812,50.0,Female,,Post Graduate,Y,1,12.0,120435.0,6832.0,60,Medical,305.0,4,850143,198288.0,230547.0,6600.0,RURAL,Approved,,811,none
5165,37.0,Female,,NOT GRADUATE,NO,1,15.0,159317.0,9522.0,36,Medical,438.0,3,521321,,35407.0,22742.0,semi-urban,Approved,,5164,N/A
4763,50.0,male,divorced,Grad,N,2,20.0,147219.0,435362.0,84,EDUCATION,762.0,0,432002,156250.0,279983.0,25552.0,urban,Approved,,4762,
5340,55.0,female,Single,NOT GRADUATE,N,4,28.0,150613.0,198175.0,120,EDUCATION,755.0,3,524461,108157.0,80056.0,,Semiurban,Approved,,5339,none
1731,40.0,male,Married,Post Graduate,NO,2,3.0,40002.0,482799.0,36,Education,368.0,0,11917,483237.0,257027.0,14080.0,semi-urban,Rejected,,1730,
1700,22.0,M,Single,Post Graduate,no,3,3.0,102867.0,410155.0,120,Medical,484.0,3,863076,163142.0,118928.0,,Rural,Rejected,,1699,
1358,46.0,Male,divorced,NOT GRADUATE,no,2,0.0,178998.0,448837.0,12,Home,729.0,2,736021,372598.0,98774.0,25975.0,semi-urban,Approved,,1357,
3681,21.0,F,SINGLE,graduate,No,0,27.0,106590.0,231710.0,84,home,641.0,0,343296,328212.0,279829.0,35286.0,RURAL,Approved,,3680,
320,64.0,M,Married,Post Graduate,YES,4,17.0,90474.0,61815.0,12,Personal,431.0,4,314235,416883.0,290262.0,19504.0,urban,Approved,,319,none
4016,57.0,F,SINGLE,NOT GRADUATE,no,3,20.0,151066.0,303951.0,24,Home,367.0,4,517525,300138.0,248681.0,48584.0,semi-urban,Approved,,4015,
3353,39.0,FEMALE,divorced,graduate,,1,20.0,116433.0,460519.0,60,Home,513.0,3,296508,398632.0,214364.0,48703.0,RURAL,Rejected,,3352,none
4619,32.0,M,Married,graduate,YES,3,3.0,49717.0,222054.0,60,Home,560.0,0,747556,490326.0,217221.0,12402.0,urban,Rejected,,4618,none
1109,47.0,FEMALE,,Post Graduate,Yes,2,9.0,47675.0,356750.0,12,home,622.0,1,111178,221222.0,130900.0,27864.0,RURAL,Approved,,1108,N/A
4629,35.0,F,Married,Post Graduate,Y,0,24.0,151756.0,461836.0,48,Medical,320.0,4,654028,63326.0,196879.0,31249.0,Rural,Rejected,,4628,
2945,48.0,Female,Single,graduate,No,2,11.0,26861.0,430037.0,48,home,763.0,1,423754,150351.0,103505.0,27717.0,Semiurban,Approved,,2944,check
1303,53.0,male,divorced,Post Graduate,Y,3,0.0,122413.0,191131.0,120,EDUCATION,303.0,0,718971,242386.0,,35533.0,RURAL,Approved,,1302,check
2032,46.0,M,married,Grad,NO,3,13.0,160565.0,216803.0,36,EDUCATION,407.0,3,528566,228013.0,229681.0,45372.0,semi-urban,Approved,,2031,
1427,36.0,Male,Married,Not Graduate,No,3,0.0,89093.0,243084.0,60,Medical,312.0,3,851610,151310.0,156852.0,46378.0,RURAL,Rejected,,1426,
297,23.0,FEMALE,divorced,NOT GRADUATE,N,3,0.0,172117.0,491625.0,36,Business,375.0,4,9968,155904.0,,,Rural,Rejected,,296,N/A
2648,23.0,M,divorced,graduate,yes,0,9.0,170348.0,206457.0,48,Education,447.0,0,29415,427900.0,68509.0,30973.0,semi-urban,Approved,,2647,
1663,35.0,M,married,Grad,yes,5,18.0,81192.0,305102.0,48,Home,387.0,1,468510,459753.0,112591.0,33160.0,Rural,Approved,,1662,
2751,38.0,MALE,divorced,Not Graduate,No,4,,39787.0,176475.0,60,Home,,1,118051,250232.0,84305.0,,semi-urban,Approved,,2750,none
4360,62.0,Female,Divorced,Post Graduate,,0,10.0,175855.0,422799.0,24,home,705.0,2,897364,9011.0,191813.0,47650.0,RURAL,Approved,,4359,
2346,39.0,MALE,divorced,Post Graduate,yes,4,,168394.0,130721.0,12,Business,683.0,1,521784,443235.0,178356.0,23039.0,RURAL,Approved,,2345,N/A
1187,52.0,male,SINGLE,Post Graduate,No,3,14.0,77388.0,275651.0,120,Personal,613.0,3,702679,201302.0,69399.0,,urban,Approved,,1186,N/A
4695,61.0,F,Divorced,Grad,,3,2.0,168645.0,163070.0,36,Business,352.0,4,129453,115328.0,241349.0,,semi-urban,Rejected,,4694,
